account_id,total_amount_usd,avg_amount_usd,std_amount_usd,tx_count,tx_freq,tx_freq_std,asset_diversity,borrow_count,repay_count,first_seen,last_seen,behavior_consistency,borrow_repay_ratio,active_days,cluster,deposit_volume,risk_score,credit_score
0xe5c8ce63476575dc1a9f87372b889a1b63a27e28,44.640236277659326,22.320118138829663,19.858354792739984,2,42.0,0.0,2,0,2,2019-07-29 20:59:01,2019-07-29 20:59:43,84.0,0.0,1,0,44.640236277659326,0.0,3.26
0x762fa191596f0dafbf64d3a7bef03d404ee673ae,8.438918869880538,4.219459434940269,2.4316828528429073,2,43.0,0.0,2,0,2,2019-07-18 05:10:20,2019-07-18 05:11:03,86.0,0.0,1,0,8.438918869880538,0.0,3.2399999999999998
0x91519989101d5d5f1a5a364a76194b15a9098a4d,36.90543098237067,18.452715491185334,8.375607066551948,2,43.0,0.0,2,0,2,2019-06-25 05:36:39,2019-06-25 05:37:22,86.0,0.0,1,0,36.90543098237067,0.0,3.2399999999999998
0x187da357c4470445f2cb9476afc445875eefc6e5,2466.7703932360923,822.2567977453641,101.45208205942016,3,96.5,103.94469683442249,3,0,3,2019-07-17 23:42:50,2019-07-17 23:46:03,289.5,0.0,1,0,2466.7703932360923,0.0,3.2049999999999996
0x44c883c16fa507bb0e112cdf71bad9c0ce9468c2,5.698065070898834,2.849032535449417,1.9106657976403365,2,46.0,0.0,2,0,2,2019-08-13 07:00:47,2019-08-13 07:01:33,92.0,0.0,1,0,5.698065070898834,0.0,3.1799999999999997
0x3a5c2a873f2d3c37bfd1df97471c6f67e7b3bbb6,35.68566540762056,17.84283270381028,9.368705320268425,2,46.0,0.0,2,0,2,2019-06-24 16:01:13,2019-06-24 16:01:59,92.0,0.0,1,0,35.68566540762056,0.0,3.1799999999999997
0x00d6eddba006378cb3d7a635d180666dda30442e,10.567112192260208,5.283556096130104,6.582120030740068,2,46.0,0.0,2,0,2,2019-08-01 02:27:51,2019-08-01 02:28:37,92.0,0.0,1,0,10.567112192260208,0.0,3.1799999999999997
0x72ac8b55d6c8a6f424e70257cd53becc5075243f,0.1400415956684927,0.07002079783424635,0.013923261495612363,2,48.0,0.0,2,0,2,2019-07-27 18:32:01,2019-07-27 18:32:49,96.0,0.0,1,0,0.1400415956684927,0.0,3.1399999999999997
0x56781d983d93b1fa09db829d27e7a577056254e1,141.69655415056974,70.84827707528487,42.53438479863827,2,48.0,0.0,2,0,2,2019-06-30 08:31:58,2019-06-30 08:32:46,96.0,0.0,1,0,141.69655415056974,0.0,3.1399999999999997
0x86e65b38f1ed90920de30bd03d08d90353e46f8b,92.56263754007374,46.28131877003687,10.205061067969615,2,50.0,0.0,2,0,2,2019-06-05 04:19:59,2019-06-05 04:20:49,100.0,0.0,1,0,92.56263754007374,0.0,3.0999999999999996
0x2f4333dc30d388bdb82616897c4facc2551c5f91,1772.195996881259,886.0979984406295,447.67367518778497,2,51.0,0.0,2,0,2,2019-07-22 02:28:03,2019-07-22 02:28:54,102.0,0.0,1,0,1772.195996881259,0.0,3.0799999999999996
0xdaede838f6f58ffd70ff24c3358e654c1ee57d82,10.912653092097447,5.456326546048723,3.3627027072155604,2,52.0,0.0,2,0,2,2019-06-14 22:26:42,2019-06-14 22:27:34,104.0,0.0,1,0,10.912653092097447,0.0,3.0599999999999996
0xc8c60e57c2ff4fc4ebcb5d253ee549456c7f9037,14.995531191268904,7.497765595634452,3.474897774697966,2,52.0,0.0,2,0,2,2019-07-29 22:21:47,2019-07-29 22:22:39,104.0,0.0,1,0,14.995531191268904,0.0,3.0599999999999996
0x6e2daaddb8456be5fe598b704a86be485006b7ce,578.1034904123478,289.0517452061739,197.07604652016101,2,54.0,0.0,2,0,2,2019-08-12 02:38:22,2019-08-12 02:39:16,108.0,0.0,1,0,578.1034904123478,0.0,3.0199999999999996
